"STA","Station Name","Elevation","Latitude","Longitude","Nearby City","Hydro #","Basin #","Owner","Maintenance","Operator","Map #","Collect #","County Name","Basin Name","Agency Name","Hydro Area","Sensors"
"130","SAN JOAQUIN R - MONITORING WELL #130","130","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"142","SAN JOAQUIN R - MONITORING WELL #142","100","37.1861","-120.6829","LOS BANOS","6","9001","999","999","50","24","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"225","MONITORING WELL MW-17-225","116","37.023313","-120.539028","DOS PALOS","6","9001","999","999","50","23","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"49B","SJRRP MW-09-49B","171","36.7712","-120.2702","FIREBAUGH","6","9001","999","999","50","29","2","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100,170"
"ANC","ANTIOCH (USBR)","10","38.017817","-121.802965","ANTIOCH","5","8101","999","999","50","16","0","CONTRA COSTA","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"ANH","SAN JOAQUIN RIVER AT ANTIOCH","10","38.0178298950195","-121.802963256836","ANTIOCH","5","9001","999","999","705","999","0","CONTRA COSTA","SAN JOAQUIN R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,4,5,9,10,14,25,26,27,28,61,62,100,102,141,146"
"BAC","BACON ISLAND AT OLD RIVER","0","37.9693450927734","-121.572174072266","BRENTWOOD","5","8101","999","999","703","999","0","SAN JOAQUIN","DELTA","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","1,5,14,25,100,141"
"BDL","BELDON LANDING","0","38.1869","-121.9708","FAIRFIELD","5","6501","999","705","705","17","0","SOLANO","SACRAMENTO R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,5,14,25,27,28,61,62,100"
"BDT","SAN JOAQUIN R AT BRANDT BRIDGE","0","37.865","-121.3231","LATHROP","6","9001","999","999","703","23","0","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","1,5,14,20,21,25,41,100,141"
"BET","BETHEL ISLAND","9","38.0410919189453","-121.632186889648","RIO VISTA","5","8101","999","999","704","999","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","5,14,25,27,61,100,222,223,224"
"BIR","MIDDLE R AT BACON ISLAND RD","10","37.943056","-121.53389","MIDDLE RIVER","6","9001","999","999","704","22","2","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,14,25,100"
"BKS","BARKER SLOUGH PUMPING PLANT (KG000000)","0","38.2759","-121.7965","RIO VISTA","2","8101","999","999","703","17","0","SOLANO","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","23,25,27,62,70,100,114,146,149,272"
"BLL","BLACKLOCK (NE1)","0","38.1801","-121.9069","MONTEZUMA","5","6501","999","999","705","17","0","SOLANO","SACRAMENTO R","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,6,9,10,14,16,17,25,61,100"
"BLP","BLIND POINT","0","38.0324516296387","-121.719039916992","RIO VISTA","5","8101","999","999","704","999","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","5,14,25,28,61,62,100,221"
"BVT","BUENA VISTA PUMPING PLANT","295","35.161446","-119.346481","TAFT","7","9901","999","999","703","37","16","KERN","TULARE LAKE WESTSIDE","CA Dept of Water Resources/Operations and Maintenance","TULARE LAKE","27,62,100,146"
"C12","CAL AQUEDUCT CHECK 12 (KA006633)","224","37.118","-121.058","SANTA NELLA","6","9001","999","999","703","23","0","MERCED","SAN JOAQUIN R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","20,25,100"
"C13","CAL AQUEDUCT CHECK 13 (KA007089)","204","37.0742","-121.0151","SANTA NELLA","6","9001","999","999","703","23","0","MERCED","SAN JOAQUIN R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","25,27,62,100,113,146,149,163"
"C18","CAL AQUEDUCT CHECK 18 (KA014321)","321","36.326","-120.229","COALINGA","6","9401","999","999","703","30","0","FRESNO","KINGS R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","25,27,100"
"C21","CAL AQUEDUCT CHECK 21 (KA017226)","320","36.0142","-119.9769","KETTLEMAN CITY","6","9401","999","999","703","31","0","KINGS","KINGS R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","25,27,62,100,146"
"C29","CAL AQUEDUCT CHECK 29 (KA024454)","291","35.232","-119.3299","TAFT","6","9701","999","999","703","38","16","KERN","KERN R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","25,27,62,100,146,149"
"C41","CAL AQUEDUCT CHECK 41 (KA030341)","3280","34.834","-118.7119","GORMAN","6","11701","999","999","703","46","0","KERN","MOJAVE R","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","25,27,62,100,113,146,149"
"C66","CAL AQUEDUCT CHECK 66 (KA040341)","3448","34.336","-117.3036","HESPERIA","9","11701","999","999","703","47","0","SAN BERNARDINO","MOJAVE R","CA Dept of Water Resources/Operations and Maintenance","SOUTH LAHONTAN","25,27,100,146"
"CCS","CACHE SLOUGH","0","38.2918","-121.742","RIO VISTA","5","8101","999","999","50","16","0","SOLANO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100"
"CLC","CLIFTON COURT","3","37.8298","-121.5574","BYRON","2","8101","999","999","703","23","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","10,25,27,62,76,100,114,134,146,273"
"CLL","COLLINSVILLE","0","38.073981","-121.850123","COLLINSVILLE","5","8101","999","999","50","16","0","SOLANO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"CNT","CONTRA COSTA","10","37.99495","-121.702809","OAKLEY","5","8101","999","999","50","22","0","CONTRA COSTA","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100"
"CPP","CORDELIA PUMPING PLANT (KG002111)","2","38.2276","-122.1347","SUISUN CITY","2","8101","999","999","703","16","0","SOLANO","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","25,27,100,146"
"CRS","MERCED RIVER AT CRESSY","165","37.425","-120.663","CRESSY","6","8701","999","999","706","24","0","MERCED","MERCED R","CA Dept of Water Resources/South Central Region Office","SAN JOAQUIN RIVER","1,14,20,25,41,100"
"CSE","COLLINSVILLE ON SACRAMENTO RIVER","0","38.074","-121.8501","FAIRFIELD","5","8101","999","999","705","17","0","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,14,25,27,28,61,62,100"
"CSO","CASTAIC LAKE OUTLET (CAS00000)","1535","34.527","-118.611","CASTAIC","4","4601","999","999","703","46","0","LOS ANGELES","SANTA CLARA R","CA Dept of Water Resources/Operations and Maintenance","SOUTH COAST","25,27,62,100,146"
"CYG","CYGNUS-CORDELIA SLOUGH","0","38.1527","-122.0908","FAIRFIELD","5","8101","999","999","705","16","0","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,14,25,100"
"DAR","DRAINAGE AT ARBOR ROAD ","20","37.768959","-121.419414","TRACEY","5","9001","999","999","704","22","2","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","1,14,20,100,146"
"DC2","DEVIL CANYON 2ND AFTERBAY (KA041275)","2000","34.2305","-117.3405","SAN BERNARDINO","4","5701","999","999","703","47","0","SAN BERNARDINO","SANTA ANA R","CA Dept of Water Resources/Operations and Maintenance","SOUTH COAST","27,62,100,146"
"DCO","DEL VALLE CONSERVATION OUTLET WORKS","542","37.6178","-121.7468","LIVERMORE","2","2001","999","999","703","23","0","ALAMEDA","EAST BAY","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","27,62,100,146"
"DGL","DOUGHTY CUT ABOVE GRANT LINE CANAL","18","37.815","-121.425","TRACY","6","9001","999","999","704","23","0","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,5,14,25,27,28,61,62,100,141"
"DLC","DELTA CROSS CHANNEL BTW SAC R & SNODGRAS","10","38.245","-121.505","WALNUT GROVE","5","6501","999","999","58","17","0","SACRAMENTO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,20,21,25,100,221"
"DM2","CHECK 20","165","36.829918","-120.439097","FIREBAUGH","6","9001","999","999","50","29","0","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,100"
"DM3","CHECK 21","164","36.780899","-120.372473","MENDOTA","6","9001","999","999","50","29","0","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","1,14,25,100"
"DMC","DMC HEADWORKS","200","37.781567","-121.590239","TRACY","5","8101","999","999","50","22","0","ALAMEDA","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100"
"DNB","SAN JOAQUIN R AT DONNY BRIDGE","239","36.8335","-119.9658","FRESNO","6","9001","999","999","50","31","0","MADERA","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","1,20,25,100"
"DPC","DEL PUERTO CK - USGS","43","37.4867","-121.2081","MODESTO","6","9001","58","58","58","23","0","STANISLAUS","SAN JOAQUIN R","US Geological Survey","SAN JOAQUIN RIVER","1,14,25,100"
"DSJ","DUTCH SLOUGH AT JERSEY ISLAND","10","38.013","-121.671","OAKLEY","6","9001","999","999","58","17","0","CONTRA COSTA","SAN JOAQUIN R","US Geological Survey","SAN JOAQUIN RIVER","1,20,21,25,61,100,221,222,223,224"
"DV7","DEL VALLE CHECK 7 (KB001638)","500","37.6547","-121.7419","LIVERMORE","2","2001","999","999","703","23","0","ALAMEDA","EAST BAY","CA Dept of Water Resources/Operations and Maintenance","SAN FRANCISCO BAY","25,27,62,100,114,146"
"DVC","DEVIL CANYON HEADWORKS (KA041288)","2296","34.2235","-117.3307","SAN BERNARDINO","4","5701","999","999","703","47","0","SAN BERNARDINO","SANTA ANA R","CA Dept of Water Resources/Operations and Maintenance","SOUTH COAST","25,27,100,146,149"
"DWS","SACRAMENTO DEEP WATER SHIPPING CHANNEL","0","38.25611","-121.66667","WEST SACRAMENTO","5","6501","999","999","58","17","0","YOLO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,20,21,25,100,221"
"DYR","DYER RESERVOIR","805","37.757824","-121.674913","LIVERMORE","6","8101","999","999","703","22","0","CONTRA COSTA","DELTA","CA Dept of Water Resources/Operations and Maintenance","SAN JOAQUIN RIVER","27,62,100,114,146"
"EBM","EASTSIDE BYPASS BLW MARIPOSA BYPASS","115","37.205","-120.6981","MERCED","6","9001","999","999","706","24","0","MERCED","SAN JOAQUIN R","CA Dept of Water Resources/South Central Region Office","SAN JOAQUIN RIVER","1,14,20,25,27,28,41,61,62,100"
"ECD","EAST CONTRA COUNTY ID PP#1","22","37.917863","-121.625999","DISCOVERY BAY","5","8101","999","999","704","23","2","CONTRA COSTA","DELTA","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","14,100,146"
"EMM","EMMATON (USBR)","0","38.084272","-121.738924","RIO VISTA","5","8101","999","999","50","16","0","SACRAMENTO","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100,102"
"FAL","FALSE RIVER NEAR OAKLEY","0","38.0558","-121.6669","OAKLEY","6","8101","999","999","5","17","0","CONTRA COSTA","DELTA","USGS/DWR","SAN JOAQUIN RIVER","1,20,21,25,28,61,100,221,222,223,224,225,226,227,228,229,230"
"FCT","FISHERMANS CUT","4","38.067822","-121.648838","ANTIOCH","6","9001","999","999","704","16","17","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,20,21,25,61,100,221,222,223,224,225,226,227,228,229,230"
"FFB","SAN JOAQUIN R AT FREMONT FORD BRIDGE","65","37.3099403381348","-120.931037902832","GUSTINE","6","9001","999","999","58","24","0","MERCED","SAN JOAQUIN R","US Geological Survey","SAN JOAQUIN RIVER","1,14,20,25,41,100"
"FLT","GOODYEAR SLOUGH OUTFALL @ NAVAL FLEET","0","38.08037934","-122.1020479","BENICIA","5","8101","999","999","705","16","4","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","14,25,100"
"FPT","SACRAMENTO RIVER AT FREEPORT","0","38.45","-121.5","FREEPORT","5","6501","999","999","58","17","0","SACRAMENTO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,14,20,21,25,100,221"
"FRK","FRANK'S TRACT MID TRACT","0","38.046417","-121.5981","ANTIOCH","6","8101","999","999","705","16","21","CONTRA COSTA","DELTA","CA Dept of Water Resources/Div of Environmental Services","SAN JOAQUIN RIVER","9,10,14,25,27,28,61,62,100"
"FRP","FARRAR PARK","0","38.011698","-121.639129","LINCOLN VILLAGE","5","8101","999","999","50","16","0","SAN JOAQUIN","DELTA","US Bureau of Reclamation","SACRAMENTO RIVER","14,25,100"
"FTA","FEATHER RIVER BELOW THERMALITO AFTERBAY","125","39.4529242","-121.639539","OROVILLE","5","7301","999","999","704","0","2","BUTTE","FEATHER R","CA Dept of Water Resources/North Central Region Office","SACRAMENTO RIVER","4,14,100"
"FWQ","SAN JOAQUIN R AT FRIANT DAM-WQ","330","36.9993","-119.7061","FRIANT","6","9001","999","999","50","31","0","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","14,25,27,28,61,62,100"
"GCT","GRANTLINE CANAL AT TRACY RD BRIDGE","25","37.8201446533203","-121.449859619141","TRACY","6","9001","999","999","1","999","0","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources","SAN JOAQUIN RIVER","1,14,25,27,28,61,62,100,141"
"GES","SACRAMENTO RIVER BELOW GEORGIANA SLOUGH","0","38.2389","-121.5234","WALNUT GROVE","5","6501","999","999","58","17","0","SACRAMENTO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,20,21,25,100,221"
"GLC","GRANTLINE CANAL (USGS)","10","37.8196","-121.5485","TRACY","6","9001","999","999","5","23","0","SAN JOAQUIN","SAN JOAQUIN R","USGS/DWR","SAN JOAQUIN RIVER","1,20,21,25,28,41,61,62,100,221"
"GLE","GRANT LINE CANAL EAST","6","37.820258","-121.4348562","TRACY","6","9001","999","999","704","23","17","SAN JOAQUIN","SAN JOAQUIN R","CA Dept of Water Resources/North Central Region Office","SAN JOAQUIN RIVER","1,20,21,25,28,61,62,100,221"
"GOD","GODFATHER II ON SUISUN SLOUGH","0","38.1238","-122.0812","FAIRFIELD","5","8101","999","999","705","16","0","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","14,25,27,28,61,62,100"
"GRF","SAN JOAQUIN RIVER AT GRAVELLY FORD","170","36.798","-120.16","MENDOTA","6","9001","999","999","50","30","0","FRESNO","SAN JOAQUIN R","US Bureau of Reclamation","SAN JOAQUIN RIVER","1,14,20,25,27,28,41,61,62,100"
"GRL","FEATHER RIVER NEAR GRIDLEY","92","39.3665771484375","-121.647369384766","GRIDLEY","5","7301","999","999","703","999","0","BUTTE","FEATHER R","CA Dept of Water Resources/Operations and Maintenance","SACRAMENTO RIVER","1,5,14,20,25,27,41,100,169"
"GSS","GEORGIANA SLOUGH AT SACRAMENTO RIVER","10","38.237","-121.518","WALNUT GROVE","5","6501","999","999","58","17","0","SACRAMENTO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,20,21,25,100,221"
"GYS","GOODYEAR SLOUGH","0","38.118","-122.095","BENICIA","5","8101","999","999","705","16","0","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","1,5,14,25,61,100"
"GZB","GRIZZLY BAY BUOY","0","38.123145","-122.007582","FAIRFIELD","2","8101","999","999","705","15","21","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SAN FRANCISCO BAY","14,25,27,28,61,62,100"
"GZL","GRIZZLY BAY","0","38.12425","-122.038117","FAIRFIELD","2","8101","999","999","705","15","21","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SAN FRANCISCO BAY","9,10,14,25,27,28,61,62,100"
"GZM","GRIZZLY BAY AT HEAD OF MONTEZUMA SL BUOY","0","38.141304","-122.060196","SUISUN CITY","5","8101","999","999","705","0","21","SOLANO","DELTA","CA Dept of Water Resources/Div of Environmental Services","SACRAMENTO RIVER","14,25,28,61,62,100,221,275"
"H41","SAN JOAQUIN R AT HWY 41","260","36.8762","-119.7932","FRESNO","5","9001","999","999","50","31","0","MADERA","SAN JOAQUIN R","US Bureau of Reclamation","SACRAMENTO RIVER","1,14,20,25,100"
"HAS","HASS SLOUGH NEAR ELMIRA","0","38.294151","-121.725739","RIO VISTA","5","6501","999","999","58","0","22","SOLANO","SACRAMENTO R","US Geological Survey","SACRAMENTO RIVER","1,20,21,25,27,100"
